# Manual corrections to pinyin in TOCFL lists
# 國立/過節 - swapped entries
Traditional,Pinyin,Corrected
國立,guòjié,guólì
過節,guólì,guòjié
# Incorrect pinyin:
供給,gōnjǐ,gōngjǐ
情況,qǐngjià,qíngkuàng
木刻,mùkē,mùkè
# Incorrect diacritic positions in pinyin:
漂亮,piàolìang,piàoliàng
比方說,bǐfāngshūo,bǐfāngshuō
熟悉,shoúxī,shóuxī
# Missing apostrophes (TOCFL lists erroneously do not have any):
女兒,nǚér,nǚ'ér
可愛,kěài,kě'ài
答案,dáàn,dá'àn
反而,fǎnér,fǎn'ér
驕傲,jiāoào,jiāo'ào
戀愛,liànài,liàn'ài
平安,píngān,píng'ān
喜愛,xǐài,xǐ'ài
障礙,zhàngài,zhàng'ài
總而言之,zǒngéryánzhī,zǒng'éryánzhī
不安,bùān,bù'ān
檔案,dǎngàn,dǎng'àn
對岸,duìàn,duì'àn
方案,fāngàn,fāng'àn
感恩,gǎnēn,gǎn'ēn
黑暗,hēiàn,hēi'àn
金額,jīné,jīn'é
敬愛,jìngài,jìng'ài
親愛,qīnài,qīn'ài
然而,ránér,rán'ér
熱愛,rèài,rè'ài
托兒所,tuōérsuǒ,tuō'érsuǒ
相親相愛,xiāngqīnxiāngài,xiāngqīnxiāng'ài
一般而言,yībānéryán,yībān'éryán
因而,yīnér,yīn'ér
嬰兒,yīngér,yīng'ér
阻礙,zǔài,zǔ'ài
暗暗,ànàn,àn'àn
辦案,bànàn,bàn'àn
保安,bǎoān,bǎo'ān
報案,bàoàn,bào'àn
悲哀,bēiāi,bēi'āi
匾額,biǎné,biǎn'é
草案,cǎoàn,cǎo'àn
差額,chāé,chā'é
寵愛,chǒngài,chǒng'ài
從而,cóngér,cóng'ér
定額,dìngé,dìng'é
恩愛,ēnài,ēn'ài
妨礙,fángài,fáng'ài
公安,gōngān,gōng'ān
孤兒,gūér,gū'ér
飢餓/饑餓,jīè,jī'è
進而,jìnér,jìn'ér
名額,míngé,míng'é
木偶,mùǒu,mù'ǒu
破案,pòàn,pò'àn
仁愛,rénài,rén'ài
深奧,shēnào,shēn'ào
疼愛,téngài,téng'ài
心愛,xīnài,xīn'ài
友愛,yǒuài,yǒu'ài
治安,zhìān,zhì'ān
總額,zǒngé,zǒng'é
罪惡,zuìè,zuì'è
